country,date,source,party,value,sample_size,fieldwork_start,fieldwork_end,notes
Bulgaria,2024,MarketLinks,APS,6.8,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,BSP–OL,7.7,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,DPS,12.5,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,GERB–SDS,27.5,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,ITN,4.8,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,MECh,3.6,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,PP–DB,15.4,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2024,MarketLinks,Vaz.,14.1,1007,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,APS,1.9,1009,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,APS,3.1,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,APS,7.9,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,BSP–OL,5.7,1009,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,BSP–OL,8.4,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,BSP–OL,9.0,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,DPS,10.8,1009,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,DPS,11.4,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,DPS,14.6,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,GERB–SDS,24.7,1009,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,GERB–SDS,27.3,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,GERB–SDS,28.3,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,ITN,4.4,1009,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,ITN,5.2,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
Bulgaria,2025,Alpha Research,ITN,6.5,1000,,,auto_scraped_from_wikipedia_hinted_resolver_v3
